Unidades: €/MW
Informação acedida em: 10/12/2024 22:58:01
Data;Hora;Portugal;Espanha
2022-01-01;1;145.86;145.86
2022-01-01;2;114.90;114.90
2022-01-01;3;113.87;113.87
2022-01-01;4;97.80;97.80
2022-01-01;5;97.80;97.80
2022-01-01;6;95.74;95.74
2022-01-01;7;97.80;97.80
2022-01-01;8;97.80;97.80
2022-01-01;9;97.80;97.80
2022-01-01;10;70.05;70.05
2022-01-01;11;76.79;76.79
2022-01-01;12;84.10;84.10
2022-01-01;13;94.74;94.74
2022-01-01;14;96.80;96.80
2022-01-01;15;97.80;97.80
2022-01-01;16;98.52;98.52
2022-01-01;17;114.50;114.50
2022-01-01;18;149.97;149.97
2022-01-01;19;177.22;177.22
2022-01-01;20;187.52;187.52
2022-01-01;21;189.26;189.26
2022-01-01;22;190.81;190.81
2022-01-01;23;188.39;188.39
2022-01-01;24;167.26;167.26
2022-01-02;1;133.21;133.21
2022-01-02;2;115.87;115.87
2022-01-02;3;110.52;110.52
2022-01-02;4;113.00;113.00
2022-01-02;5;115.87;115.87
2022-01-02;6;110.52;110.52
2022-01-02;7;115.87;115.87
2022-01-02;8;129.60;129.60
2022-01-02;9;115.87;115.87
2022-01-02;10;115.87;115.87
2022-01-02;11;113.00;113.00
2022-01-02;12;115.87;103.70
2022-01-02;13;110.00;103.70
2022-01-02;14;110.52;110.52
2022-01-02;15;115.87;115.87
2022-01-02;16;109.80;109.50
2022-01-02;17;115.87;115.87
2022-01-02;18;159.79;159.79
2022-01-02;19;194.25;194.25
2022-01-02;20;198.00;198.00
2022-01-02;21;208.38;208.38
2022-01-02;22;209.10;209.10
2022-01-02;23;191.36;191.36
2022-01-02;24;178.00;178.00
2022-01-03;1;181.50;181.50
2022-01-03;2;160.72;160.72
2022-01-03;3;154.64;154.64
2022-01-03;4;149.86;149.86
2022-01-03;5;144.49;144.49
2022-01-03;6;148.86;148.86
2022-01-03;7;153.77;153.77
2022-01-03;8;160.72;160.72
2022-01-03;9;189.26;189.26
2022-01-03;10;183.54;183.54
2022-01-03;11;160.72;160.72
2022-01-03;12;152.20;152.20
2022-01-03;13;148.86;148.86
2022-01-03;14;142.04;142.04
2022-01-03;15;127.38;127.38
2022-01-03;16;112.87;112.87
2022-01-03;17;126.80;126.80
2022-01-03;18;148.49;148.49
2022-01-03;19;175.06;175.06
2022-01-03;20;180.00;180.00
2022-01-03;21;153.77;153.77
2022-01-03;22;141.94;141.94
2022-01-03;23;114.11;114.11
2022-01-03;24;100.36;100.36
2022-01-04;1;125.47;125.47
2022-01-04;2;115.55;115.55
2022-01-04;3;113.29;113.29
2022-01-04;4;105.81;105.81
2022-01-04;5;105.00;105.00
2022-01-04;6;115.11;115.11
2022-01-04;7;153.77;153.77
2022-01-04;8;161.03;161.03
2022-01-04;9;178.91;178.91
