name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
porto,2022-08-30T00:00:00,17.1,17.1,16.9,98.98,0,0,,0,0,7.2,2.6,132,1017.3,25,9,0,0,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08545099999,08567099999"
porto,2022-08-30T01:00:00,17,17,16.9,99.83,0,0,,0,0,7.9,1.7,320,1017.3,100,0,0,0,0,,Overcast,cloudy,"08551099999,LPPR,08545099999,08567099999"
porto,2022-08-30T02:00:00,16.8,16.8,16.8,99.88,0,0,,0,0,8.3,1.6,32,1017.2,100,0,0,0,0,,Overcast,cloudy,"08551099999,LPPR,08545099999,08567099999"
porto,2022-08-30T03:00:00,16.8,16.8,16.2,95.95,0,0,,0,0,7.9,1.6,23,1017.3,100,0,0,0,0,,Overcast,cloudy,"08551099999,LPPR,08545099999,08567099999"
porto,2022-08-30T04:00:00,16.1,16.1,16,99.4,0,0,,0,0,8.3,2.5,80,1017.4,88,1,0,0,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08545099999,08567099999"
porto,2022-08-30T05:00:00,15.2,15.2,15.2,99.7,0,0,,0,0,9,4.6,88,1017.3,50,1,0,0,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08545099999,08567099999"
porto,2022-08-30T06:00:00,15.3,15.3,15.2,99.33,0,0,,0,0,9.7,5.9,147,1017.4,50,4,0,0,0,,Partially cloudy,partly-cloudy-night,"08551099999,LPPR,08545099999,08567099999"
porto,2022-08-30T07:00:00,15.5,15.5,15.4,99.33,0,0,,0,0,10.4,2.9,128,1018.2,89.9,9.1,0,0,0,,Partially cloudy,partly-cloudy-day,"08551099999,08544099999,LPPR,08545099999"
porto,2022-08-30T08:00:00,16,16,15.7,98.29,0,0,,0,0,11.2,3.6,128,1019.1,88,10,22,0.1,0,,Partially cloudy,partly-cloudy-day,"08551099999,LPPR,E9663,08545099999,08567099999"
porto,2022-08-30T09:00:00,16.5,16.5,15.6,93.96,0,0,,0,0,11.5,3.6,131,1019.3,88,10,75,0.3,1,,Partially cloudy,partly-cloudy-day,"08551099999,LPPR,E9663,08545099999,08567099999"
porto,2022-08-30T10:00:00,18.2,18.2,16.1,87.69,0,0,,0,0,12.6,5.9,321,1020.1,89.9,9.6,168,0.6,2,,Partially cloudy,partly-cloudy-day,"08551099999,08544099999,LPPR,E9663,08545099999,08567099999"
porto,2022-08-30T11:00:00,21.1,21.1,16.2,73.7,0,0,,0,0,15.5,12.8,111,1020,88,10,404,1.5,4,,Partially cloudy,partly-cloudy-day,"08551099999,LPPR,E9663,08545099999,08567099999"
porto,2022-08-30T12:00:00,19.5,19.5,17.3,87.16,0,0,,0,0,18.7,11,246,1020.1,88,10,635,2.3,6,,Partially cloudy,partly-cloudy-day,"08551099999,LPPR,E9663,08545099999,08567099999"
porto,2022-08-30T13:00:00,20.9,20.9,16.9,77.48,0,0,,0,0,20.5,4.7,252,1020,80.8,10.1,809,2.9,8,,Partially cloudy,partly-cloudy-day,"08551099999,08544099999,LPPR,E9663,08545099999,08567099999"
porto,2022-08-30T14:00:00,21.2,21.2,17.3,78.56,0,0,,0,0,21.2,10.9,263,1019.4,88,10,805,2.9,8,,Partially cloudy,partly-cloudy-day,"08551099999,LPPR,E9663,08545099999,08567099999"
porto,2022-08-30T15:00:00,22.2,22.2,17.3,73.79,0,0,,0,0,22.7,10.9,274,1019.2,25,10,778,2.8,8,,Partially cloudy,partly-cloudy-day,"08551099999,LPPR,E9663,08545099999,08567099999"
porto,2022-08-30T16:00:00,21.9,21.9,16.9,73.34,0,0,,0,0,24.5,11.2,288,1019,22.7,10,701,2.5,7,,Partially cloudy,partly-cloudy-day,"08551099999,08544099999,LPPR,E9663,08545099999,08567099999"
